时间（s）,距中心 0.0000 cm,距中心 0.1000 cm,距中心 0.2000 cm,距中心 0.3000 cm,距中心 0.4000 cm,距中心 0.5000 cm,距中心 0.6000 cm,距中心 0.7000 cm,距中心 0.8000 cm,距中心 0.9000 cm,距中心 1.0000 cm,距中心 1.1000 cm,距中心 1.2000 cm,距中心 1.3000 cm,距中心 1.4000 cm,距中心 1.5000 cm,距中心 1.6000 cm,距中心 1.7000 cm,距中心 1.8000 cm,距中心 1.9000 cm,距中心 2.0000 cm
0.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
1.0,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.000000263888882,28.00000031009658,28.000002563712258,28.000062353611362
2.0,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055533875,28.000001055534234,28.00000105556816,28.000001057238702,28.00000110988255,28.000002271192876,28.00002056334629,28.000226412462403
3.0,28.00000237490665,28.00000237490665,28.00000237490665,28.00000237490665,28.00000237490665,28.00000237490665,28.00000237490665,28.00000237490665,28.00000237490665,28.00000237490665,28.00000237490665,28.00000237490665,28.00000237490668,28.000002374908043,28.000002374955066,28.00000237619433,28.000002401767837,28.00000281874578,28.000008182836687,28.000061926826728,28.00047095557216
4.0,28.000004221978884,28.000004221978884,28.000004221978884,28.000004221978884,28.000004221978884,28.000004221978884,28.000004221978884,28.000004221978884,28.000004221978884,28.000004221978884,28.000004221978884,28.000004221978923,28.000004221980184,28.00000422201022,28.000004222606357,28.000004232477316,28.00000436871471,28.000005927010033,28.000020532952693,28.000130695481065,28.000781598253138
5.0,28.000006596722255,28.000006596722255,28.000006596722255,28.000006596722255,28.000006596722255,28.000006596722255,28.000006596722255,28.000006596722255,28.000006596722255,28.000006596722255,28.000006596722287,28.00000659672303,28.000006596737474,28.000006596978146,28.000006600440443,28.000006643290156,28.00000709673241,28.000011161213365,28.000041608114586,28.000228677834198,28.001148323941646
6.0,28.00000949910844,28.00000949910844,28.00000949910844,28.00000949910844,28.00000949910844,28.00000949910844,28.00000949910844,28.00000949910844,28.00000949910844,28.000009499108458,28.000009499108817,28.00000949911484,28.00000949920373,28.000009500361017,28.00000951360697,28.000009646130554,28.000010796053946,28.000019359890608,28.000073350777576,28.00035641591651,28.00156395436807
7.0,28.000012929109126,28.000012929109126,28.000012929109126,28.000012929109126,28.000012929109126,28.000012929109126,28.000012929109126,28.000012929109126,28.000012929109133,28.000012929109285,28.000012929111605,28.000012929142812,28.00001292951953,28.000012933581875,28.00001297251633,28.00001330197508,28.00001574272806,28.000031406454195,28.0001173359594,28.000513748897895,28.00202319075003
8.0,28.00001688669599,28.00001688669599,28.00001688669599,28.00001688669599,28.00001688669599,28.00001688669599,28.00001688669599,28.000016886695995,28.000016886696056,28.000016886696905,28.000016886707535,28.000016886828345,28.00001688807052,28.000016899572653,28.000016994937234,28.000017697968325,28.000022267224384,28.00004817928516,28.00017480064914,28.00070014069222,28.002522005194262
9.0,28.00002137184072,28.00002137184072,28.00002137184072,28.00002137184072,28.00002137184072,28.00002137184072,28.000021371840724,28.000021371840745,28.000021371841047,28.000021371844603,28.000021371883037,28.000021372262886,28.000021375680426,28.000021403529793,28.000021607852165,28.000022947999877,28.000030740807535,28.00007051829692,28.00024669215388,28.000914869171282,28.003057248802612
10.0,28.000026384515,28.000026384515,28.000026384515,28.000026384515,28.000026384515,28.000026384515,28.00002638451501,28.000026384515117,28.000026384516293,28.00002638452848,28.000026384644883,28.000026385666427,28.00002639386493,28.000026453722015,28.000026848889807,28.000029191542474,28.000041561938062,28.000099204822604,28.000333719151637,28.00115713427102,28.003626395237443
11.0,28.000031924690518,28.000031924690518,28.000031924690518,28.000031924690518,28.000031924690518,28.00003192469052,28.00003192469056,28.000031924690948,28.000031924694813,28.000031924730624,28.00003192503794,28.00003192747005,28.000031945135827,28.000032062281413,28.000032767249444,28.00003659123675,28.00005514399128,28.00013495132649,28.00043639837128,28.001426118634964,28.004227369937222
12.0,28.00003799233896,28.00003799233896,28.00003799233896,28.00003799233896,28.00003799233896,28.000037992338974,28.000037992339106,28.000037992340335,28.000037992351416,28.000037992444522,28.000037993171567,28.000037998422997,28.000038033339372,28.000038245919338,28.000039424109737,28.000045329695837,28.000071904891332,28.000178397891272,28.000555094429355,28.00172102057328,28.004858434188197
